0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
14,14,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC1OC(COP(O)(O)=O)C(O)C(O)C1(O),,,2.0,4.392647499522139,1.5,17.0,11.0,,,608.0768186319999,4.0,,,336.92999999999995,-4.784830000000001,,,2.0,3.3328092338836663,1.0,26.0,13.0,,,998.9805918919994,6.0,,,531.9799999999999,-2.855260000000001
15,15,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)).OCC1OC(O)C(O)C(O)C1(O)>>OC1OC(COP(O)(O)=O)C(O)C(O)C1(O).Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)),,,2.0,4.321162103663016,1.5,17.0,10.0,,,591.0978884239998,4.0,,,322.75,-4.747230000000001,,,3.0,2.9056184255345743,0.976190476190476,31.0,16.0,,,1252.0624898280896,8.0,,,637.8699999999999,-5.209069999999997
17,17,[H]O[H].C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>OP(O)(O)=O.OCC1OC(O)C(O)C(O)C1(O),,,1.0,2.572326379287313,1.0,7.0,6.0,,,278.04028331,1.0,,,188.41,-3.929099999999999,,,1.0,6.1064754826617165,1.0,7.0,8.0,,,278.04028331,1.0,,,188.14,-4.15
18,18,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)>>[H].O=C1OC(COP(O)(O)=O)C(O)C(O)C1(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),,,2.0,4.304436324785904,1.3333333333333335,20.0,12.0,,,765.9938296119999,4.0,,,426.8299999999999,-4.34263,,,4.0,3.8999137939477686,1.3571428571428572,25.0,13.0,,,924.1466654619999,6.0,,,471.3699999999999,-6.279129999999997
19,19,OCC1OC(O)C(O)C(O)C1(O).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>OCC1OC(=O)C(O)C(O)C1(O).[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),,,3.0,3.7920370777851256,1.476190476190476,23.0,13.0,,,844.17978636009,6.0,,,428.63999999999993,-7.101039999999996,,,4.0,2.7855601133913215,1.0952380952380953,29.0,13.0,,,1050.2541856399998,8.0,,,500.25,-5.629059999999994
20,20,C[S+](CCC(N)C(O)=O)CC1OC(C(O)C1(O))n3cnc2c(N)ncnc23.[*]C5CC(O)C(COP(O)(=O)OC2CC(OC2(COP(O)(=O)OC1CC([*])OC1(CO)))n4cnc3c(N)ncnc34)O5>>NC(CCSCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)=O.[*]C5CC(OP(O)(=O)OCC4OC([*])CC4(OP(O)(=O)OCC1OC(CC1(O))n3cnc2c(NC)ncnc23))C(CO)O5,,,6.0,2.4190854038944254,1.5119047619047619,32.0,10.0,,,1232.26306856,10.0,,,484.59000000000003,-2.3941599999999954,,,2.0,3.7377284265257567,1.1555555555555554,22.0,12.0,,,883.11304292609,5.0,,,446.99999999999994,-3.432349999999997
21,21,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).[H]O[H]>>OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,1.0,2.6740286330746827,1.0,8.0,7.0,,,358.00661383199986,1.0,,,234.94,-3.8104999999999998,,,1.0,6.085267677598554,1.0,8.0,9.0,,,358.006613832,1.0,,,234.67,-4.0314
22,22,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),,,2.0,4.141264045086134,1.1111111111111112,23.0,13.0,,,886.9867092299996,4.0,,,488.26,-2.510840000000001,,,2.0,5.287229815073118,2.0,15.0,13.0,,,600.0257677739999,2.0,,,360.35,-6.0886
23,23,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),,,2.0,4.128897210929656,1.1111111111111112,24.0,13.0,,,886.0026936419997,4.0,,,494.31,-3.5024400000000018,,,1.0,6.4609249347335105,1.75,13.0,11.0,,,540.0046384059999,1.0,,,327.73,-4.9694
24,24,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),,,2.0,3.805324002389494,1.0555555555555556,24.0,13.0,,,910.9979426099997,5.0,,,496.96999999999997,-3.256150000000001,,,2.0,4.310540450410908,1.5,21.0,13.0,,,830.9968799899996,4.0,,,462.34,-4.39463
25,25,[H]C(O)(C=O)COP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>[H]C(=O)C(O)C(O)COP(O)(O)=O.OCC(=O)C(O)C(O)COP(O)(O)=O,,,1.0,6.163949903095754,1.6666666666666665,11.0,9.0,,,430.02774320000003,1.0,,,260.97,-4.4473,,,1.0,6.87714922424807,1.8,14.0,12.0,,,570.0152030899999,1.0,,,347.96000000000004,-5.606900000000001
26,26,OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)>>C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,1.0,1.696297416547441,0.5,13.0,7.0,,,507.9797610499998,3.0,,,273.0799999999999,-1.4464300000000003,,,1.0,2.613201181998435,1.0,7.0,6.0,,,260.02971862600003,1.0,,,156.91,-3.1028
27,27,[H]O[H].OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)>>OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,0.0,4.171760878438132,1.0,7.0,7.0,,,280.055933374,0.0,,,199.41,-4.2931,,,1.0,6.085267677598554,1.0,8.0,9.0,,,358.006613832,1.0,,,234.67,-4.0314
28,28,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O),,,2.0,4.30261058219916,1.5,21.0,13.0,,,767.0254640879998,4.0,,,436.03999999999996,-5.5408300000000015,,,1.0,5.920412685242667,1.5,19.0,13.0,,,689.07478363,3.0,,,400.51,-6.023430000000001
