0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
47,47,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),,,3.0,2.847037490924253,0.976190476190476,31.0,15.0,,,1171.1121437180898,8.0,,,597.3899999999999,,-6.317669999999996
48,48,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),,,2.0,3.2958435742593686,1.1666666666666665,32.0,17.0,,,1274.1109544239998,6.0,,,625.6899999999999,,-4.912359999999998
49,49,CCO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CC=O,,,1.0,4.795635005606359,1.3333333333333335,8.0,5.0,,,302.04028331000006,1.0,,,170.82,,-2.691
51,51,OC=O.[H]C2(CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)(CNC=3N=C(N)NC(=O)C=3(N2)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OP(O)(O)=O.NC=1NC(=O)C=2NC(CNC=2(N=1))CN(C=O)c3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O,,,3.0,4.878124253318918,1.1157894736842104,32.0,22.0,,,1425.3326229939998,9.0,,,710.53,,-4.805649999999993
53,53,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).CC(=O)C(O)=O>>C=C(OP(O)(O)=O)C(O)=O.O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O),,,1.0,5.661882010200386,0.8888888888888888,12.0,7.0,,,492.0182411359999,2.0,,,272.21,,-1.15812
54,54,CC(=O)C(O)=O.NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C3(O)>>NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(O)=O)C(O)C3(O).C=C(OP(O)(O)=O)C(O)=O,,,0.0,6.833689778754108,0.3333333333333333,4.0,1.0,,,132.005873228,0.0,,,88.50999999999999,,-0.9235
55,55,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).CC(=O)C(O)=O>>NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).C=C(OP(O)(O)=O)C(O)=O,,,1.0,5.6495151760439075,0.8888888888888888,13.0,7.0,,,491.0342255479999,2.0,,,278.26,,-2.1497200000000007
56,56,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(=O)C(O)=O>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C=C(OP(O)(O)=O)C(O)=O,,,1.0,5.325941967503745,0.8333333333333333,13.0,7.0,,,516.0294745159998,3.0,,,280.91999999999996,,-1.9034300000000002
57,57,CC(=O)C(O)=O.Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1))>>C=C(OP(O)(O)=O)C(O)=O.Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)),,,1.0,5.2544565716446225,0.8333333333333333,13.0,6.0,,,499.05054430799987,3.0,,,266.74,,-1.8658300000000003
58,58,CC(=O)C(O)=O.NC(=O)CCCCC1CCSS1>>O=C=O.CC(=O)SC(CCCCC(N)=O)CCS,,,0.0,7.217686138036745,1.1333333333333333,6.0,3.0,,,337.10176483600003,0.0,,,114.53,,1.6603000000000008
