SabioReactionID,Reaction,ECNumber,MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
9,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(=O)C(O)=O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C=C(OP(O)(O)=O)C(O)=O,2.7.1.40,595.0117894499998,-1.9690000000000007,333.5,3.0,1.0,37.0,1.0,0.8333333333333333,5.257112855243928,9.0,8.0,16.0,595.0117894499999,-2.052000000000001,336.66,3.0,1.0,37.0,1.0,0.5,5.815953986982519,9.0,9.0,15.0
10,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,2.7.1.2,687.0591335659998,-4.850400000000001,389.51,4.0,2.0,43.0,2.0,1.5,4.323818387262321,9.0,12.0,20.0,687.0591335659999,-4.8504000000000005,389.51,4.0,2.0,43.0,2.0,1.5,4.320978186091848,9.0,12.0,19.0
10,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,2.7.1.1,687.0591335659998,-4.850400000000001,389.51,4.0,2.0,43.0,2.0,1.5,4.323818387262321,9.0,12.0,20.0,687.0591335659999,-4.8504000000000005,389.51,4.0,2.0,43.0,2.0,1.5,4.320978186091848,9.0,12.0,19.0
11,OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)>>C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O,5.4.2.2,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0,260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0
13,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O>>OC1OC(COP(O)(O)=O)C(O)C(O)C1(O),5.1.3.15,260.02971862600003,-3.104399999999999,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287313,3.0,6.0,7.0,260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
14,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)C(O)C(O)C1(O)>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC1OC(COP(O)(O)=O)C(O)C(O)C1(O),2.7.1.1,688.0431491539998,-5.139300000000001,383.4599999999999,4.0,2.0,43.0,2.0,1.5,4.330706403609038,9.0,12.0,19.0,688.0431491539998,-5.1393,383.4599999999999,4.0,2.0,43.0,2.0,1.5,4.330564891747856,9.0,12.0,18.0
15,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)).OCC1OC(O)C(O)C(O)C1(O)>>OC1OC(COP(O)(O)=O)C(O)C(O)C1(O).Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)),2.7.1.2,671.0642189459998,-3.8212000000000006,369.28,4.0,2.0,42.0,2.0,1.5,4.270920804397822,9.0,11.0,19.0,671.0642189459999,-3.8212,369.28,4.0,2.0,42.0,2.0,1.5,4.259079495888733,9.0,11.0,18.0
18,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC1OC(COP(O)(O)=O)C(O)C(O)C1(O)>>[H].O=C1OC(COP(O)(O)=O)C(O)C(O)C1(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1.1.1.49,1004.1124474040898,-6.003299999999998,521.6999999999999,6.0,3.0,64.0,3.0,1.476190476190476,3.781647388274447,16.0,15.0,25.0,746.0989274219999,-2.456899999999997,364.1499999999999,5.0,3.0,48.0,3.0,0.5238095238095238,1.1997576602685036,13.0,9.0,19.0
19,OCC1OC(O)C(O)C(O)C1(O).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>OCC1OC(=O)C(O)C(O)C1(O).[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1.1.1.121,844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0,843.1725099079998,-5.699599999999998,424.84,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338902,12.0,12.0,24.0
19,OCC1OC(O)C(O)C(O)C1(O).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>OCC1OC(=O)C(O)C(O)C1(O).[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1.1.1.47,844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0,843.1725099079998,-5.699599999999998,424.84,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338902,12.0,12.0,24.0
