,SabioReactionID,Reaction
1792,1792,NC(Cc1cnc2ccccc12)C(O)=O.CC(C)=CCOP(O)(=O)OP(O)(O)=O>>CC(=CCC1=C2C(=CC=C1)NC=C2C[C@@H](C(=O)O)N)C.OP(O)(=O)OP(O)(O)=O
1793,1793,CC(C)=CCOP(O)(=O)OP(O)(O)=O.CC(C)=CCOP(O)(=O)OP(O)(O)=O.CC(C)=CCOP(O)(=O)OP(O)(O)=O.CC(=C)CCOP(O)(=O)OP(O)(O)=O.CC(=C)CCOP(O)(=O)OP(O)(O)=O.CC(=C)CCOP(O)(=O)OP(O)(O)=O>>CC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O.CC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O.CC(C)=CCCC(C)=CCOP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O
1795,1795,OC(COP(O)(O)=O)C(=O)OP(O)(O)=O.OC(COP(O)(O)=O)C(=O)OP(O)(O)=O.OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O).OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O)>>OC1C(O)C(COP(O)(O)=O)OC(OP(O)(O)=O)C1(O).OC1C(O)C(COP(O)(O)=O)OC(OP(O)(O)=O)C1(O).OC(=O)C(O)COP(O)(O)=O.OC(=O)C(O)COP(O)(O)=O
1796,1796,NC=1C=CN(C(=O)N=1)C2CC(O)C(COP(O)(O)=O)O2.[H]C24(CNC=1N=C(N)NC(=O)C=1N4(CN(C2)c3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O))>>NC=2NC(=O)C=3N=C(CNc1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O)CNC=3(N=2).CC1=CN(C(=O)N=C1(N))C2CC(O)C(COP(O)(O)=O)O2
1808,1808,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CCCC(O)=O.CCCC(O)=O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CCCC(=O)OP(O)(O)=O.CCCC(=O)OP(O)(O)=O
1811,1811,OCC1(O)(OCC(O)C(O)C1(O)).OCC1(O)(OCC(O)C(O)C1(O)).O=O.O=O>>OCC(=O)C(O)C(O)C(=O)CO.OCC(=O)C(O)C(O)C(=O)CO.OO.OO
1816,1816,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H].[H]O[H].[H]O[H].[H]C(=O)CCCCCCCCCCCCCCC.[H]C(=O)CCCCCCCCCCCCCCC.[H]C(=O)CCCCCCCCCCCCCCC>>[H].[H].[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CCCCCCCCCCCCCCCC(O)=O.CCCCCCCCCCCCCCCC(O)=O.CCCCCCCCCCCCCCCC(O)=O
1819,1819,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.Cc1ncc(CO)c(C=O)c1(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Cc2ncc1COC(=O)c1c2(O).[H]
1820,1820,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Cc1ncc(CO)c(CO)c1(O)>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Cc1ncc(CO)c(C=O)c1(O).[H]
1821,1821,[H]O[H].Cc1ncc(CO)c(C=O)c1(O).O=O>>Cc1ncc(CO)c(C(O)=O)c1(O).O=[O-]
1824,1824,CC(=O)C(O)=O.Cc1ncc(CO)c(CN)c1(O)>>CC(N)C(O)=O.Cc1ncc(CO)c(C=O)c1(O)
1825,1825,OC(=O)CC(=O)C(O)=O.Cc1ncc(CO)c(CN)c1(O)>>Cc1ncc(CO)c(C=O)c1(O).NC(CC(O)=O)C(O)=O
1826,1826,C=C(OC1CC(=CC(OP(O)(O)=O)C1(O))C(O)=O)C(O)=O>>OP(O)(O)=O.C=C(OC1C=C(C=CC1(O))C(O)=O)C(O)=O
1827,1827,C=C(OC1C=C(C=CC1(O))C(O)=O)C(O)=O>>[H]C1(O)(C=CC(C=C1)(CC(=O)C(O)=O)C(O)=O)
1828,1828,NC(=O)CCC(N)C(O)=O.C=C(OC1C=C(C=CC1(O))C(O)=O)C(O)=O>>NC(CCC(O)=O)C(O)=O.C=C(OC1C=C(C=CC1(N))C(O)=O)C(O)=O
1829,1829,C=C(OC1C=C(C=CC1(O))C(O)=O)C(O)=O>>C=C(OC1C=CC=C(C(O)=O)C1(O))C(O)=O
1830,1830,[H]O[H].[H]O[H].[H]O[H].OCC2OC(OCC1OC(O)C(O)C(O)C1(O))C(O)C(O)C2(O).OCC2OC(OCC1OC(O)C(O)C(O)C1(O))C(O)C(O)C2(O).OCC2OC(OCC1OC(O)C(O)C(O)C1(O))C(O)C(O)C2(O)>>OCC1OC(O)C(O)C(O)C1(O).OCC1OC(O)C(O)C(O)C1(O).OCC1OC(O)C(O)C(O)C1(O)
1836,1836,OC(=O)c1ccc[n+](c1)C2OC(COP(O)(O)=O)C(O)C2(O).OP(O)(=O)OP(O)(O)=O>>OC1C(O)C(OC1(COP(O)(O)=O))OP(O)(=O)OP(O)(O)=O.OC(=O)c1cccnc1
1839,1839,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]C1(O)(C=CC(C=C1)(CC(=O)C(O)=O)C(O)=O)>>[H].O=C=O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Oc1ccc(cc1)CC(=O)C(O)=O
1840,1840,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]C1(O)(C=CC(C=C1)(CC(=O)C(O)=O)C(O)=O).[H]C1(O)(C=CC(C=C1)(CC(=O)C(O)=O)C(O)=O)>>[H].[H].O=C=O.O=C=O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Oc1ccc(cc1)CC(=O)C(O)=O.Oc1ccc(cc1)CC(=O)C(O)=O
1841,1841,OC(=O)CC(=O)C(O)=O.NC(CC1(C=CC(O)C=C1)C(O)=O)C(O)=O>>[H]C1(O)(C=CC(C=C1)(CC(=O)C(O)=O)C(O)=O).NC(CC(O)=O)C(O)=O
1843,1843,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Cc2cc3N=C1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)CO)c3(cc2(C)).Cc2cc3N=C1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)CO)c3(cc2(C)).[H].[H]>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).Cc2cc3NC1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)CO)c3(cc2(C)).Cc2cc3NC1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)CO)c3(cc2(C))
1845,1845,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC(O)C(O)C(O)C(O)C(O)=O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC(=O)C(O)C(O)C(O)C(O)COP(O)(O)=O
1847,1847,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)C(O)C(O)C(O)C(O)=O>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)C(O)C(O)C(=O)C(O)=O.[H]
1851,1851,[H]O[H].OCC(OP(O)(O)=O)C(O)=O>>OP(O)(O)=O.OCC(O)C(O)=O
1853,1853,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H].OCC(O)C=O>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)C(O)=O
1856,1856,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O)>>[H].[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC1OC(=O)C(O)C1(O).OCC1OC(=O)C(O)C1(O)
1857,1857,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OCC(O)C(O)C(O)CO.OCC(O)C(O)C(O)CO>>OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[H]
1858,1858,OCC(O)C(O)C(O)CO.OCC(O)C(O)C(O)CO.OCC(O)C(O)C(O)CO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[H].[H]
1860,1860,OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O)>>OCC1(O)(OCC(O)C1(O)).OCC1(O)(OCC(O)C1(O))
1861,1861,[H]O[H].[H]O[H].[*]CC3OC(OCC2OC(O[*])C(O)C2(OC1OC(CO)C(O)C1(O)))C(O)C3(O).[*]CC3OC(OCC2OC(O[*])C(O)C2(OC1OC(CO)C(O)C1(O)))C(O)C3(O)>>OC1COC(O)C(O)C1(O).OC1COC(O)C(O)C1(O).[*]CC3OC(OCC2OC(O[*])C(O)C2(OC1OC(CO)C(O)C1(O)))C(O)C3(O).[*]CC3OC(OCC2OC(O[*])C(O)C2(OC1OC(CO)C(O)C1(O)))C(O)C3(O)
1862,1862,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OCc1ccccc1.OCc1ccccc1.OCc1ccccc1>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).O=Cc1ccccc1.O=Cc1ccccc1.O=Cc1ccccc1.[H].[H].[H]
1863,1863,OC(=O)C(=O)c1ccccc1.OC(=O)C(=O)c1ccccc1.OC(=O)C(=O)c1ccccc1>>O=C=O.O=C=O.O=C=O.O=Cc1ccccc1.O=Cc1ccccc1.O=Cc1ccccc1
1864,1864,NC(C(O)=O)C(O)c1ccccc1>>NCC(O)=O.O=Cc1ccccc1
1865,1865,N#CC(O)c1ccccc1.N#CC(O)c1ccccc1.N#CC(O)c1ccccc1>>(C-)#N.(C-)#N.(C-)#N.O=Cc1ccccc1.O=Cc1ccccc1.O=Cc1ccccc1
1866,1866,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CCO)C(O)=O>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CCOP(O)(O)=O)C(O)=O
1868,1868,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(CCO)C(O)=O>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(CC=O)C(O)=O
1869,1869,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.NC(CCO)C(O)=O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.CC(=O)OCCC(N)C(O)=O
1870,1870,CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O.NC(CCO)C(O)=O>>CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS.NC(CCOC(=O)CCC(O)=O)C(O)=O
1874,1874,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OCCO.OCCO.OCCO>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC=O.OCC=O.OCC=O.[H].[H].[H]
1875,1875,OCC(O)CC(=O)C(O)=O.OCC(O)CC(=O)C(O)=O>>CC(=O)C(O)=O.CC(=O)C(O)=O.OCC=O.OCC=O
1878,1878,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)C(O)C(O)C(O)CO>>[H].OCC1OC(O)C(O)C(O)C1(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
1880,1880,[H]O[H].[*]OC2OC(CO)C(OC1OC(CO)C(O[*])C(O)C1(O))C(O)C2(O)>>OCC1OC(O)C(O)C(O)C1(O).[*]OC2OC(CO)C(OC1OC(CO)C(O[*])C(O)C1(O))C(O)C2(O)
1882,1882,[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1)>>c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1)
1883,1883,[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1)>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1)
1884,1884,NC(Cc1ccccc1)C(O)=O.NC(Cc1ccccc1)C(O)=O.CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1).CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1).O=O.O=O>>[H]O[H].[H]O[H].NC(Cc1ccc(O)cc1)C(O)=O.NC(Cc1ccc(O)cc1)C(O)=O.CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1).CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1)
1888,1888,[*]C(=O)OCC(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(N)=NC2(=O))OC([*])=O.OC1C(O)C(O)C(O)C(O)C1(O)>>NC=1C=CN(C(=O)N=1)C2OC(COP(O)(O)=O)C(O)C2(O).[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1(O))OC([*])=O
1890,1890,OP(O)(O)=O.CC(=O)NC1C(O)CC(O)(OC1(C(O)C(O)CO))C(O)=O>>C=C(OP(O)(O)=O)C(O)=O.[H]O[H].CC(=O)NC1C(O)OC(CO)C(O)C1(O)
1891,1891,[H]O[H].CC(=O)NC1C(O)CC(O)(OC1(C(O)C(O)COP(O)(O)=O))C(O)=O>>OP(O)(O)=O.CC(=O)NC1C(O)CC(O)(OC1(C(O)C(O)CO))C(O)=O
1898,1898,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1)>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CC(O)C(O)c1cnc2N=C(N)NC(=O)c2(n1)
1900,1900,NC(Cc1cnc2ccccc12)C(O)=O.CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1).O=O>>[H]O[H].NC(Cc1cnc2ccc(O)cc12)C(O)=O.CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1)
1901,1901,NC(Cc1ccc(O)cc1)C(O)=O.CC(O)C(O)C1CNC=2N=C(N)NC(=O)C=2(N1).O=O>>[H]O[H].NC(Cc1ccc(O)c(O)c1)C(O)=O.CC(O)C(O)C1CNC2=NC(N)=NC(=O)C2(=N1)
1904,1904,Nc4ncnc1c4(ncn1C3OC(COP(O)(=O)OP(O)(=O)OC2OC(CO)C(O)C(O)C2(O))C(O)C3(O)).[*]OC1OC(CO)C(O)C(O)C1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).[*]OC1OC(CO)C(O)C(O)C1(O)
1905,1905,OP(O)(O)=O.[*]OC1OC(CO)C(O)C(O)C1(O)>>OCC1OC(OP(O)(O)=O)C(O)C(O)C1(O).[*]OC1OC(CO)C(O)C(O)C1(O)
1906,1906,OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O).[*]OC1OC(CO)C(O)C(O)C1(O)>>O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).[*]OC1OC(CO)C(O)C(O)C1(O)
1907,1907,OCC2OC(OC1(CO)(OC(CO)C(O)C1(O)))C(O)C(O)C2(O).[*]OC1OC(CO)C(O)C(O)C1(O)>>OCC1OC(O)(CO)C(O)C1(O).[*]OC1OC(CO)C(O)C(O)C1(O)
1909,1909,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H].[H]C(=O)C(O)C(O)COP(O)(O)=O>>[H].OC(=O)C(O)C(O)COP(O)(O)=O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
1910,1910,C=C(OP(O)(O)=O)C(O)=O.C=C(OP(O)(O)=O)C(O)=O.[H]O[H].[H]O[H].[H]C(=O)C(O)C(O)COP(O)(O)=O.[H]C(=O)C(O)C(O)COP(O)(O)=O>>OP(O)(O)=O.OP(O)(O)=O.OC(=O)C(=O)CC(O)C(O)C(O)COP(O)(O)=O.OC(=O)C(=O)CC(O)C(O)C(O)COP(O)(O)=O
