MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
767.115208962,-1.6652999999999971,346.55999999999995,3.0,1.0,48.0,1.0,0.6666666666666666,1.6064341740586443,18.0,10.0,18.0
745.0911023899998,-2.569399999999997,364.1499999999999,5.0,3.0,48.0,3.0,0.5238095238095238,1.1997576602685036,13.0,9.0,19.0
427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
167.98237451000003,-0.3060000000000001,104.06,0.0,0.0,10.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0
443.02432955999984,-2.4527000000000005,252.57,3.0,1.0,28.0,1.0,0.5,1.7900510916195491,6.0,7.0,12.0
403.0181815599999,-2.329,223.89,2.0,1.0,25.0,1.0,0.5555555555555556,2.081811721000704,6.0,6.0,11.0
428.01343052799984,-2.034900000000001,226.54999999999995,3.0,1.0,27.0,1.0,0.5,1.758238512460542,6.0,6.0,11.0
167.98237451000003,-0.3060000000000001,104.06,0.0,0.0,10.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0
43.98982924,-0.5835,34.14,0.0,0.0,3.0,0.0,0.0,3.2659863237109046,0.0,0.0,2.0
767.115208962,-1.6652999999999971,346.55999999999995,3.0,1.0,48.0,1.0,0.6666666666666666,1.6064341740586443,18.0,10.0,18.0
665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
230.019153942,-2.4653000000000005,136.68,1.0,1.0,14.0,1.0,1.0,2.4387072219898034,3.0,5.0,6.0
44.026214748,0.2052,17.07,0.0,0.0,3.0,0.0,0.5,2.1874960973678963,0.0,0.0,1.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
347.0630844179999,-1.8630000000000009,186.07,3.0,1.0,23.0,1.0,0.5,1.8511475274909783,4.0,5.0,10.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
566.0550205679999,-4.793699999999994,296.99,3.0,2.0,36.0,2.0,0.7333333333333333,1.6113646712462018,9.0,9.0,16.0
260.02971862600003,-3.1044,156.91,1.0,1.0,16.0,1.0,1.0,2.747846398413265,3.0,6.0,7.0
427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
767.115208962,-1.6652999999999971,346.55999999999995,3.0,1.0,48.0,1.0,0.6666666666666666,1.6064341740586443,18.0,10.0,18.0
456.1626078440899,-0.6134999999999977,193.75,4.0,2.0,33.0,2.0,0.3,1.49176280967325,7.0,6.0,8.0
1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
443.02432955999984,-2.4527000000000005,252.57,3.0,1.0,28.0,1.0,0.5,1.7900510916195491,6.0,7.0,12.0
443.02432955999984,-2.4527000000000005,252.57,3.0,1.0,28.0,1.0,0.5,1.7900510916195491,6.0,7.0,12.0
427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
403.0181815599999,-2.329,223.89,2.0,1.0,25.0,1.0,0.5555555555555556,2.081811721000704,6.0,6.0,11.0
427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
112.027277368,-0.9368,65.72,1.0,0.0,8.0,0.0,0.0,3.5021170388304435,0.0,2.0,2.0
322.05660206999994,-1.3972800000000003,151.08,2.0,1.0,21.0,1.0,0.6,2.140955851776649,4.0,4.0,7.0
244.069536104,-2.8519000000000005,124.77999999999996,2.0,1.0,17.0,1.0,0.5555555555555556,2.3515193982482367,2.0,4.0,7.0
322.05660206999994,-1.3972800000000003,151.08,2.0,1.0,21.0,1.0,0.6,2.140955851776649,4.0,4.0,7.0
402.0229325919999,-1.2802800000000003,197.61,2.0,1.0,25.0,1.0,0.6,2.0590566682797,6.0,5.0,9.0
18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140.982708858,-0.8255999999999999,109.85000000000002,0.0,0.0,8.0,0.0,0.0,3.740352517744469,1.0,3.0,3.0
147.053157768,-0.7369000000000001,100.62,0.0,0.0,10.0,0.0,0.6,3.4907296603908136,4.0,3.0,3.0
445.1709814560001,-0.2819999999999977,211.56000000000003,3.0,1.0,32.0,1.0,0.3157894736842105,1.541465522838195,9.0,8.0,9.0
149.051049592,0.1513999999999998,63.32,0.0,0.0,9.0,0.0,0.8,3.2659073992264416,4.0,2.0,3.0
