Name	Role	Smiles
alpha-D-Glucose 6-phosphate	Substrate	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)(O)O
beta-D-Fructose 6-phosphate	Product	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O
